TXNAME,GENEID
DN_NonamEVm001831t4,DN_NonamEVm001831
DN_NonamEVm001831t5,DN_NonamEVm001831
DN_NonamEVm001831t7,DN_NonamEVm001831
DN_NonamEVm001831t8,DN_NonamEVm001831
DN_NonamEVm001831t9,DN_NonamEVm001831
DN_NonamEVm001848t1,DN_NonamEVm001848
DN_NonamEVm001848t2,DN_NonamEVm001848
DN_NonamEVm001848t3,DN_NonamEVm001848
DN_NonamEVm001868t1,DN_NonamEVm001868
DN_NonamEVm001869t1,DN_NonamEVm001869
DN_NonamEVm001869t2,DN_NonamEVm001869
DN_NonamEVm001869t4,DN_NonamEVm001869
DN_NonamEVm001869t6,DN_NonamEVm001869
DN_NonamEVm001869t7,DN_NonamEVm001869
DN_NonamEVm001869t9,DN_NonamEVm001869
DN_NonamEVm001881t1,DN_NonamEVm001881
DN_NonamEVm001893t2,DN_NonamEVm001893
DN_NonamEVm001893t3,DN_NonamEVm001893
DN_NonamEVm001893t9,DN_NonamEVm001893
DN_NonamEVm001900t1,DN_NonamEVm001900
DN_NonamEVm001900t2,DN_NonamEVm001900
DN_NonamEVm001900t3,DN_NonamEVm001900
DN_NonamEVm001900t4,DN_NonamEVm001900
DN_NonamEVm001960t4,DN_NonamEVm001960
DN_NonamEVm001960t7,DN_NonamEVm001960
DN_NonamEVm001971t2,DN_NonamEVm001971
DN_NonamEVm001971t3,DN_NonamEVm001971
DN_NonamEVm001971t4,DN_NonamEVm001971
DN_NonamEVm001971t5,DN_NonamEVm001971
DN_NonamEVm001971t6,DN_NonamEVm001971
DN_NonamEVm001971t9,DN_NonamEVm001971
DN_NonamEVm001973t1,DN_NonamEVm001973
DN_NonamEVm001973t2,DN_NonamEVm001973
DN_NonamEVm001973t3,DN_NonamEVm001973
DN_NonamEVm001988t8,DN_NonamEVm001988
DN_NonamEVm002031t1,DN_NonamEVm002031
DN_NonamEVm002031t5,DN_NonamEVm002031
DN_NonamEVm002032t6,DN_NonamEVm002032
DN_NonamEVm002032t7,DN_NonamEVm002032
DN_NonamEVm002034t1,DN_NonamEVm002034
DN_NonamEVm002054t1,DN_NonamEVm002054
DN_NonamEVm002058t1,DN_NonamEVm002058
DN_NonamEVm002058t5,DN_NonamEVm002058
DN_NonamEVm002080t1,DN_NonamEVm002080
DN_NonamEVm002080t2,DN_NonamEVm002080
DN_NonamEVm002080t3,DN_NonamEVm002080
DN_NonamEVm002080t4,DN_NonamEVm002080
DN_NonamEVm002080t8,DN_NonamEVm002080
DN_NonamEVm002166t1,DN_NonamEVm002166
DN_NonamEVm002166t2,DN_NonamEVm002166
DN_NonamEVm002181t1,DN_NonamEVm002181
DN_NonamEVm002199t3,DN_NonamEVm002199
DN_NonamEVm002199t4,DN_NonamEVm002199
DN_NonamEVm002199t5,DN_NonamEVm002199
DN_NonamEVm002199t6,DN_NonamEVm002199
DN_NonamEVm002199t9,DN_NonamEVm002199
DN_NonamEVm002206t1,DN_NonamEVm002206
DN_NonamEVm002206t2,DN_NonamEVm002206
DN_NonamEVm002206t3,DN_NonamEVm002206
DN_NonamEVm002236t2,DN_NonamEVm002236
DN_NonamEVm002236t3,DN_NonamEVm002236
DN_NonamEVm002236t7,DN_NonamEVm002236
DN_NonamEVm002256t2,DN_NonamEVm002256
DN_NonamEVm002256t3,DN_NonamEVm002256
DN_NonamEVm002256t6,DN_NonamEVm002256
DN_NonamEVm002280t1,DN_NonamEVm002280
DN_NonamEVm002280t2,DN_NonamEVm002280
DN_NonamEVm002280t3,DN_NonamEVm002280
DN_NonamEVm002280t4,DN_NonamEVm002280
DN_NonamEVm002310t1,DN_NonamEVm002310
DN_NonamEVm002310t2,DN_NonamEVm002310
DN_NonamEVm002316t1,DN_NonamEVm002316
DN_NonamEVm002316t2,DN_NonamEVm002316
DN_NonamEVm002316t3,DN_NonamEVm002316
DN_NonamEVm002316t4,DN_NonamEVm002316
DN_NonamEVm002316t5,DN_NonamEVm002316
