TXNAME,GENEID
DN_NonamEVm001989t7,DN_NonamEVm001989
DN_NonamEVm001989t8,DN_NonamEVm001989
DN_NonamEVm002001t1,DN_NonamEVm002001
DN_NonamEVm002020t4,DN_NonamEVm002020
DN_NonamEVm002020t6,DN_NonamEVm002020
DN_NonamEVm002021t1,DN_NonamEVm002021
DN_NonamEVm002028t3,DN_NonamEVm002028
DN_NonamEVm002035t1,DN_NonamEVm002035
DN_NonamEVm002035t2,DN_NonamEVm002035
DN_NonamEVm002035t5,DN_NonamEVm002035
DN_NonamEVm002035t6,DN_NonamEVm002035
DN_NonamEVm002059t1,DN_NonamEVm002059
DN_NonamEVm002059t2,DN_NonamEVm002059
DN_NonamEVm002059t3,DN_NonamEVm002059
DN_NonamEVm002059t5,DN_NonamEVm002059
DN_NonamEVm002059t7,DN_NonamEVm002059
DN_NonamEVm002070t1,DN_NonamEVm002070
DN_NonamEVm002070t2,DN_NonamEVm002070
DN_NonamEVm002072t1,DN_NonamEVm002072
DN_NonamEVm002072t4,DN_NonamEVm002072
DN_NonamEVm002087t1,DN_NonamEVm002087
DN_NonamEVm002087t2,DN_NonamEVm002087
DN_NonamEVm002087t3,DN_NonamEVm002087
DN_NonamEVm002087t5,DN_NonamEVm002087
DN_NonamEVm002087t6,DN_NonamEVm002087
DN_NonamEVm002087t8,DN_NonamEVm002087
DN_NonamEVm002087t9,DN_NonamEVm002087
DN_NonamEVm002090t1,DN_NonamEVm002090
DN_NonamEVm002090t2,DN_NonamEVm002090
DN_NonamEVm002090t3,DN_NonamEVm002090
DN_NonamEVm002090t6,DN_NonamEVm002090
DN_NonamEVm002090t7,DN_NonamEVm002090
DN_NonamEVm002090t8,DN_NonamEVm002090
DN_NonamEVm002090t9,DN_NonamEVm002090
DN_NonamEVm002121t2,DN_NonamEVm002121
DN_NonamEVm002121t3,DN_NonamEVm002121
DN_NonamEVm002121t4,DN_NonamEVm002121
DN_NonamEVm002145t1,DN_NonamEVm002145
DN_NonamEVm002145t2,DN_NonamEVm002145
DN_NonamEVm002145t3,DN_NonamEVm002145
DN_NonamEVm002145t5,DN_NonamEVm002145
DN_NonamEVm002145t6,DN_NonamEVm002145
DN_NonamEVm002145t8,DN_NonamEVm002145
DN_NonamEVm002145t9,DN_NonamEVm002145
DN_NonamEVm002169t1,DN_NonamEVm002169
DN_NonamEVm002171t1,DN_NonamEVm002171
DN_NonamEVm002171t3,DN_NonamEVm002171
DN_NonamEVm002171t4,DN_NonamEVm002171
DN_NonamEVm002174t1,DN_NonamEVm002174
DN_NonamEVm002174t2,DN_NonamEVm002174
DN_NonamEVm002180t1,DN_NonamEVm002180
DN_NonamEVm002198t1,DN_NonamEVm002198
DN_NonamEVm002198t3,DN_NonamEVm002198
DN_NonamEVm002198t4,DN_NonamEVm002198
DN_NonamEVm002274t1,DN_NonamEVm002274
DN_NonamEVm002319t1,DN_NonamEVm002319
DN_NonamEVm002319t3,DN_NonamEVm002319
DN_NonamEVm002328t1,DN_NonamEVm002328
DN_NonamEVm002328t2,DN_NonamEVm002328
DN_NonamEVm002328t5,DN_NonamEVm002328
DN_NonamEVm002377t1,DN_NonamEVm002377
DN_NonamEVm002377t2,DN_NonamEVm002377
DN_NonamEVm002415t1,DN_NonamEVm002415
DN_NonamEVm002423t1,DN_NonamEVm002423
DN_NonamEVm002423t2,DN_NonamEVm002423
DN_NonamEVm002423t4,DN_NonamEVm002423
DN_NonamEVm002423t5,DN_NonamEVm002423
DN_NonamEVm002423t9,DN_NonamEVm002423
DN_NonamEVm002458t1,DN_NonamEVm002458
DN_NonamEVm002458t2,DN_NonamEVm002458
DN_NonamEVm002464t3,DN_NonamEVm002464
DN_NonamEVm002487t1,DN_NonamEVm002487
DN_NonamEVm002487t2,DN_NonamEVm002487
DN_NonamEVm002492t1,DN_NonamEVm002492
DN_NonamEVm002492t3,DN_NonamEVm002492
DN_NonamEVm002492t4,DN_NonamEVm002492
DN_NonamEVm002492t5,DN_NonamEVm002492
DN_NonamEVm002492t6,DN_NonamEVm002492
DN_NonamEVm002492t8,DN_NonamEVm002492
DN_NonamEVm002492t9,DN_NonamEVm002492
DN_NonamEVm002542t1,DN_NonamEVm002542
DN_NonamEVm002557t1,DN_NonamEVm002557
DN_NonamEVm002557t2,DN_NonamEVm002557
DN_NonamEVm002557t4,DN_NonamEVm002557
DN_NonamEVm002557t5,DN_NonamEVm002557
DN_NonamEVm002557t6,DN_NonamEVm002557
DN_NonamEVm002585t1,DN_NonamEVm002585
DN_NonamEVm002588t2,DN_NonamEVm002588
DN_NonamEVm002603t1,DN_NonamEVm002603
DN_NonamEVm002728t1,DN_NonamEVm002728
DN_NonamEVm002728t2,DN_NonamEVm002728
DN_NonamEVm002730t1,DN_NonamEVm002730
DN_NonamEVm002782t1,DN_NonamEVm002782
DN_NonamEVm002782t3,DN_NonamEVm002782
DN_NonamEVm002782t4,DN_NonamEVm002782
DN_NonamEVm002782t6,DN_NonamEVm002782
DN_NonamEVm002789t1,DN_NonamEVm002789
DN_NonamEVm002789t2,DN_NonamEVm002789
DN_NonamEVm002789t4,DN_NonamEVm002789
DN_NonamEVm002789t5,DN_NonamEVm002789
DN_NonamEVm002789t7,DN_NonamEVm002789
DN_NonamEVm002789t8,DN_NonamEVm002789
DN_NonamEVm002789t9,DN_NonamEVm002789
DN_NonamEVm002799t1,DN_NonamEVm002799
DN_NonamEVm002799t2,DN_NonamEVm002799
DN_NonamEVm002799t3,DN_NonamEVm002799
DN_NonamEVm002818t1,DN_NonamEVm002818
DN_NonamEVm002887t1,DN_NonamEVm002887
DN_NonamEVm002887t2,DN_NonamEVm002887
DN_NonamEVm002887t3,DN_NonamEVm002887
DN_NonamEVm002894t4,DN_NonamEVm002894
DN_NonamEVm002894t6,DN_NonamEVm002894
DN_NonamEVm002898t1,DN_NonamEVm002898
DN_NonamEVm002898t2,DN_NonamEVm002898
