TXNAME,GENEID
DN_NonamEVm001920t5,DN_NonamEVm001920
DN_NonamEVm001923t1,DN_NonamEVm001923
DN_NonamEVm001923t4,DN_NonamEVm001923
DN_NonamEVm001923t5,DN_NonamEVm001923
DN_NonamEVm001935t2,DN_NonamEVm001935
DN_NonamEVm001935t4,DN_NonamEVm001935
DN_NonamEVm001935t5,DN_NonamEVm001935
DN_NonamEVm001935t6,DN_NonamEVm001935
DN_NonamEVm001951t1,DN_NonamEVm001951
DN_NonamEVm001951t2,DN_NonamEVm001951
DN_NonamEVm001951t3,DN_NonamEVm001951
DN_NonamEVm001982t1,DN_NonamEVm001982
DN_NonamEVm001982t2,DN_NonamEVm001982
DN_NonamEVm001996t1,DN_NonamEVm001996
DN_NonamEVm001999t1,DN_NonamEVm001999
DN_NonamEVm001999t2,DN_NonamEVm001999
DN_NonamEVm001999t3,DN_NonamEVm001999
DN_NonamEVm001999t4,DN_NonamEVm001999
DN_NonamEVm001999t5,DN_NonamEVm001999
DN_NonamEVm001999t6,DN_NonamEVm001999
DN_NonamEVm001999t7,DN_NonamEVm001999
DN_NonamEVm001999t8,DN_NonamEVm001999
DN_NonamEVm002006t1,DN_NonamEVm002006
DN_NonamEVm002006t2,DN_NonamEVm002006
DN_NonamEVm002006t4,DN_NonamEVm002006
DN_NonamEVm002006t5,DN_NonamEVm002006
DN_NonamEVm002006t8,DN_NonamEVm002006
DN_NonamEVm002016t1,DN_NonamEVm002016
DN_NonamEVm002016t2,DN_NonamEVm002016
DN_NonamEVm002016t3,DN_NonamEVm002016
DN_NonamEVm002016t4,DN_NonamEVm002016
DN_NonamEVm002025t1,DN_NonamEVm002025
DN_NonamEVm002028t1,DN_NonamEVm002028
DN_NonamEVm002028t3,DN_NonamEVm002028
DN_NonamEVm002028t4,DN_NonamEVm002028
DN_NonamEVm002028t5,DN_NonamEVm002028
DN_NonamEVm002028t6,DN_NonamEVm002028
DN_NonamEVm002028t7,DN_NonamEVm002028
DN_NonamEVm002028t8,DN_NonamEVm002028
DN_NonamEVm002061t5,DN_NonamEVm002061
DN_NonamEVm002061t6,DN_NonamEVm002061
DN_NonamEVm002061t7,DN_NonamEVm002061
DN_NonamEVm002069t1,DN_NonamEVm002069
DN_NonamEVm002069t2,DN_NonamEVm002069
DN_NonamEVm002069t3,DN_NonamEVm002069
DN_NonamEVm002069t4,DN_NonamEVm002069
DN_NonamEVm002092t1,DN_NonamEVm002092
DN_NonamEVm002092t3,DN_NonamEVm002092
DN_NonamEVm002092t4,DN_NonamEVm002092
DN_NonamEVm002092t5,DN_NonamEVm002092
DN_NonamEVm002092t6,DN_NonamEVm002092
